ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5610,NT,n,5,n,1.0,"(1, 0.807)","(1, 0.754)","(1, 0.685)","(1, 0.737)","(1, 0.711)","(0, 0.711)","(0, 0.7240000000000001)","(0, 0.7340000000000001)","(1, 0.7390000000000001)","(1, 0.7)","(1, 0.122)","(1, 0.19699999999999998)","(1, 0.212)","(1, 0.195)","(0, 0.203)","(0, 0.18600000000000003)","(0, 0.212)","(0, 0.19699999999999998)","(0, 0.20800000000000002)","(0, 0.20800000000000002)"
5674,NT,n,1,n,0.0,"(1, 0.5)","(0, 0.5)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.006)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(0, 0.0)","(1, 0.5)","(0, 0.22699999999999998)","(0, 0.19899999999999998)","(0, 0.0)"
5674,NT,n,2,n,1.0,"(1, 0.5)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 1.0)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
5674,NT,n,3,n,0.0,"(0, 0.5)","(1, 0.5)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(1, 0.5)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 0.685)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(1, 0.5)","(0, 0.5)","(0, 0.0)","(0, 0.0)"
5674,NT,n,4,n,1.0,"(1, 0.5)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(1, 1.0)","(0, 0.934)","(1, 1.0)","(1, 1.0)","(0, 0.5)","(1, 0.991)","(0, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 0.9740000000000001)","(0, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
5674,NT,n,5,n,1.0,"(1, 0.5)","(1, 0.76)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.5)","(0, 0.9890000000000001)","(0, 0.0)","(1, 1.0)","(1, 0.97)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 1.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
5867,NT,n,1,n,0.0,"(1, 0.632)","(0, 0.5720000000000001)","(0, 0.302)","(0, 0.231)","(0, 0.223)","(0, 0.11800000000000001)","(0, 0.171)","(0, 0.126)","(0, 0.047)","(0, 0.081)","(0, 0.049)","(0, 0.021)","(0, 0.0)","(0, 0.0)","(1, 0.084)","(0, 0.0)","(1, 0.011000000000000001)","(0, 0.0)","(0, 0.024)","(0, 0.0)"
5867,NT,n,2,n,1.0,"(1, 0.645)","(1, 0.672)","(1, 0.769)","(1, 0.8270000000000001)","(1, 0.893)","(1, 0.878)","(1, 0.889)","(1, 0.955)","(1, 1.0)","(0, 0.934)","(0, 0.762)","(0, 0.259)","(0, 0.20600000000000002)","(1, 0.66)","(0, 0.373)","(0, 0.22899999999999998)","(0, 0.24)","(0, 0.223)","(0, 0.081)","(0, 0.126)"
5867,NT,n,3,n,0.0,"(0, 0.272)","(1, 0.336)","(0, 0.3)","(0, 0.285)","(1, 0.321)","(1, 0.39399999999999996)","(1, 0.578)","(1, 0.655)","(1, 0.773)","(0, 0.794)","(0, 0.561)","(0, 0.392)","(0, 0.287)","(0, 0.23600000000000002)","(0, 0.22899999999999998)","(1, 0.33799999999999997)","(1, 0.381)","(0, 0.332)","(0, 0.336)","(0, 0.0)"
5867,NT,n,4,n,1.0,"(1, 0.585)","(1, 0.604)","(1, 0.7190000000000001)","(1, 0.7020000000000001)","(0, 0.589)","(1, 0.8220000000000001)","(0, 0.7090000000000001)","(1, 0.794)","(1, 0.8270000000000001)","(0, 0.741)","(1, 0.728)","(0, 0.679)","(1, 0.73)","(1, 0.816)","(1, 0.976)","(1, 1.0)","(0, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
5867,NT,n,5,n,1.0,"(1, 0.537)","(1, 0.591)","(1, 0.7490000000000001)","(1, 0.8390000000000001)","(1, 1.0)","(0, 0.953)","(0, 0.565)","(0, 0.435)","(1, 0.478)","(1, 0.835)","(1, 0.884)","(1, 0.9640000000000001)","(1, 1.0)","(1, 1.0)","(0, 0.7340000000000001)","(0, 0.782)","(0, 0.43700000000000006)","(0, 0.4)","(0, 0.366)","(0, 0.113)"
6381,NT,n,1,n,0.0,"(1, 0.764)","(0, 0.653)","(0, 0.315)","(0, 0.19699999999999998)","(0, 0.099)","(0, 0.051)","(0, 0.06)","(0, 0.064)","(0, 0.075)","(0, 0.054000000000000006)","(0, 0.039)","(0, 0.002)","(0, 0.0)","(0, 0.0)","(1, 0.105)","(0, 0.017)","(1, 0.14300000000000002)","(0, 0.079)","(0, 0.032)","(0, 0.0)"
6381,NT,n,2,n,1.0,"(1, 0.636)","(1, 0.698)","(1, 0.747)","(1, 0.8290000000000001)","(1, 0.887)","(1, 0.938)","(1, 0.9740000000000001)","(1, 1.0)","(1, 1.0)","(0, 0.946)","(0, 0.8140000000000001)","(0, 0.565)","(0, 0.27)","(1, 0.368)","(0, 0.152)","(0, 0.073)","(0, 0.004)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
6381,NT,n,3,n,0.0,"(0, 0.368)","(1, 0.499)","(0, 0.34299999999999997)","(0, 0.244)","(1, 0.28300000000000003)","(1, 0.4)","(1, 0.503)","(1, 0.589)","(1, 0.6940000000000001)","(0, 0.591)","(0, 0.5)","(0, 0.306)","(0, 0.203)","(0, 0.111)","(0, 0.084)","(1, 0.17800000000000002)","(1, 0.302)","(0, 0.255)","(0, 0.158)","(0, 0.0)"
